date,max_temp,min_temp
2026-07-02,39.5,26.5
2026-07-03,40.0,27.0
2026-07-04,35.6,25.4
2026-07-05,29.3,23.2
2026-07-06,25.0,22.0
2026-07-07,26.1,20.8
2026-07-08,25.6,19.0
